PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529120.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529120.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524529120.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524529120.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524529120.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529120.cs	Compared Submission: 1524536808.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524529120.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524529120.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.4	Reference Submission: 1524529139.cs	Compared Submission: 1524535995.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529139.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529139.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524529139.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524529139.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524529139.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524529139.cs	Compared Submission: 1524536808.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524529139.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524529139.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524534168.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524534168.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.73	Reference Submission: 1524534168.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524534168.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524534168.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 1	Reference Submission: 1524534168.cs	Compared Submission: 1524536808.cs	Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524534168.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.8	Reference Submission: 1524534168.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524535977.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524535977.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.29	Reference Submission: 1524535977.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.29	Reference Submission: 1524535977.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524535977.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524535977.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524535995.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.29	Reference Submission: 1524535995.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.29	Reference Submission: 1524535995.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524535995.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524535995.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.4	Reference Submission: 1524536250.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.4	Reference Submission: 1524536250.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 1	Reference Submission: 1524536250.cs	Compared Submission: 1524537481.cs	Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.75	Reference Submission: 1524536250.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524536318.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.75	Reference Submission: 1524536318.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.89	Reference Submission: 1524536410.cs	Compared Submission: 1524538188.cs	Not Matched
